X: 56.11	Y: 61.92
X: 74.85	Y: 48.76
X: 09.87	Y: 41.05
X: 35.04	Y: 87.72
X: 75.68	Y: 08.31
X: 21.58	Y: 24.51
X: 90.84	Y: 31.16
X: 82.14	Y: 26.16
X: 64.30	Y: 12.37
X: 91.03	Y: 64.17
X: 48.88	Y: 05.66
X: 11.07	Y: 70.63
X: 20.18	Y: 66.00
X: 60.98	Y: 72.79
X: 73.30	Y: 71.77
X: 37.99	Y: 21.75
X: 93.94	Y: 73.28
X: 54.66	Y: 14.62
X: 24.96	Y: 14.69
X: 17.23	Y: 31.00
X: 30.03	Y: 32.07
X: 84.69	Y: 83.92
X: 33.12	Y: 23.46
X: 44.18	Y: 37.57
X: 81.20	Y: 69.47
X: 04.00	Y: 16.56
X: 70.83	Y: 03.98
X: 96.67	Y: 33.83
X: 38.09	Y: 69.42
X: 86.44	Y: 56.52
X: 85.05	Y: 71.80
X: 99.25	Y: 76.97
X: 67.82	Y: 96.38
X: 21.24	Y: 43.77
X: 80.73	Y: 98.48
X: 86.98	Y: 05.80
X: 65.06	Y: 01.48
X: 92.61	Y: 60.12
X: 49.27	Y: 26.72
X: 56.07	Y: 35.05
X: 73.53	Y: 27.31
X: 51.99	Y: 01.39
X: 80.34	Y: 82.35
X: 71.59	Y: 41.89
X: 93.11	Y: 68.96
X: 69.70	Y: 08.25
X: 49.97	Y: 43.20
X: 02.94	Y: 26.83
X: 30.26	Y: 75.55
X: 56.91	Y: 95.78
X: 81.16	Y: 38.09
X: 29.38	Y: 21.42
X: 41.64	Y: 23.47
X: 63.03	Y: 62.34
X: 97.98	Y: 52.36
X: 81.38	Y: 46.31
X: 63.14	Y: 04.49
X: 45.11	Y: 79.96
X: 27.53	Y: 47.89
X: 22.29	Y: 49.49
X: 95.38	Y: 48.40
X: 41.20	Y: 30.09
X: 54.28	Y: 73.95
X: 42.61	Y: 16.03
X: 49.44	Y: 86.35
X: 10.91	Y: 99.99
X: 23.88	Y: 83.38
X: 23.61	Y: 75.62
X: 20.22	Y: 39.08
X: 65.26	Y: 72.83
X: 08.37	Y: 92.52
X: 98.36	Y: 26.64
X: 51.82	Y: 81.05
X: 23.82	Y: 95.49
X: 05.75	Y: 43.04
X: 84.61	Y: 42.91
X: 87.63	Y: 09.52
X: 12.38	Y: 37.25
X: 59.35	Y: 20.08
X: 77.53	Y: 68.50
X: 10.18	Y: 15.31
X: 14.17	Y: 98.85
X: 92.20	Y: 95.00
X: 05.52	Y: 02.47
X: 67.52	Y: 92.20
X: 89.24	Y: 84.78
X: 64.63	Y: 69.22
X: 52.07	Y: 31.66
X: 71.12	Y: 78.56
X: 10.81	Y: 57.91
X: 04.19	Y: 08.63
X: 34.09	Y: 77.65
X: 98.33	Y: 96.96
X: 57.42	Y: 02.65
X: 65.12	Y: 77.99
X: 36.39	Y: 94.19
X: 46.90	Y: 15.86
X: 44.53	Y: 87.57
X: 84.82	Y: 67.35
X: 85.31	Y: 36.20
