{'dron_n': 1, 'battery_capacity': 1938, 'distance_capacity': 1310}
{'dron_n': 2, 'battery_capacity': 2175, 'distance_capacity': 1102}
{'dron_n': 3, 'battery_capacity': 1505, 'distance_capacity': 1030}
{'dron_n': 4, 'battery_capacity': 2330, 'distance_capacity': 1239}
{'dron_n': 5, 'battery_capacity': 2261, 'distance_capacity': 1139}
{'dron_n': 6, 'battery_capacity': 1525, 'distance_capacity': 1320}
{'dron_n': 7, 'battery_capacity': 1254, 'distance_capacity': 1118}
{'dron_n': 8, 'battery_capacity': 2082, 'distance_capacity': 1432}
{'dron_n': 9, 'battery_capacity': 1043, 'distance_capacity': 1378}
{'dron_n': 10, 'battery_capacity': 2441, 'distance_capacity': 1167}
{'dron_n': 11, 'battery_capacity': 1803, 'distance_capacity': 1211}
{'dron_n': 12, 'battery_capacity': 1502, 'distance_capacity': 1374}
{'dron_n': 13, 'battery_capacity': 2198, 'distance_capacity': 1496}
{'dron_n': 14, 'battery_capacity': 2325, 'distance_capacity': 1321}
{'dron_n': 15, 'battery_capacity': 1975, 'distance_capacity': 1258}
{'dron_n': 16, 'battery_capacity': 1317, 'distance_capacity': 1231}
{'dron_n': 17, 'battery_capacity': 1942, 'distance_capacity': 1148}
{'dron_n': 18, 'battery_capacity': 1142, 'distance_capacity': 1248}
{'dron_n': 19, 'battery_capacity': 1743, 'distance_capacity': 1360}
{'dron_n': 20, 'battery_capacity': 1360, 'distance_capacity': 1407}
{'dron_n': 21, 'battery_capacity': 1931, 'distance_capacity': 1367}
{'dron_n': 22, 'battery_capacity': 2042, 'distance_capacity': 1090}
{'dron_n': 23, 'battery_capacity': 2273, 'distance_capacity': 1349}
{'dron_n': 24, 'battery_capacity': 2049, 'distance_capacity': 1453}
{'dron_n': 25, 'battery_capacity': 2282, 'distance_capacity': 1315}
{'dron_n': 26, 'battery_capacity': 1570, 'distance_capacity': 1118}
{'dron_n': 27, 'battery_capacity': 1620, 'distance_capacity': 1025}
{'dron_n': 28, 'battery_capacity': 2295, 'distance_capacity': 1010}
{'dron_n': 29, 'battery_capacity': 1799, 'distance_capacity': 1243}
{'dron_n': 30, 'battery_capacity': 2187, 'distance_capacity': 1308}
