X: 229.16	Y: 286.89	P: 31	B: 30
X: 324.90	Y: 307.92	P: 32	B: 320
X: 62.04	Y: 264.36	P: 2	B: 378
X: 351.95	Y: 373.08	P: 52	B: 125
X: 365.97	Y: 485.01	P: 80	B: 243
X: 252.17	Y: 225.68	P: 58	B: 148
X: 34.73	Y: 382.28	P: 46	B: 360
X: 411.22	Y: 398.17	P: 91	B: 260
X: 88.29	Y: 340.91	P: 80	B: 315
X: 139.23	Y: 151.42	P: 80	B: 10
X: 195.22	Y: 289.83	P: 71	B: 22
X: 345.30	Y: 41.15	P: 97	B: 327
X: 357.69	Y: 174.56	P: 6	B: 367
X: 29.01	Y: 160.94	P: 8	B: 108
X: 262.10	Y: 86.90	P: 27	B: 499
X: 46.90	Y: 107.75	P: 67	B: 123
X: 367.51	Y: 24.67	P: 3	B: 75
X: 285.08	Y: 198.43	P: 90	B: 175
X: 269.85	Y: 27.75	P: 69	B: 260
X: 311.77	Y: 377.52	P: 37	B: 251
X: 145.74	Y: 139.10	P: 25	B: 115
X: 193.17	Y: 116.17	P: 28	B: 359
X: 391.60	Y: 104.84	P: 69	B: 429
X: 28.42	Y: 148.33	P: 18	B: 397
X: 429.22	Y: 298.98	P: 53	B: 176
X: 254.07	Y: 439.24	P: 38	B: 223
X: 258.15	Y: 79.99	P: 5	B: 197
X: 391.26	Y: 174.26	P: 72	B: 189
X: 217.72	Y: 23.31	P: 9	B: 17
X: 244.96	Y: 258.63	P: 76	B: 374
X: 387.18	Y: 486.21	P: 88	B: 296
X: 199.61	Y: 112.63	P: 49	B: 96
X: 265.96	Y: 77.92	P: 38	B: 115
X: 335.31	Y: 77.80	P: 56	B: 328
X: 35.97	Y: 158.61	P: 4	B: 117
X: 261.56	Y: 194.70	P: 48	B: 245
X: 247.74	Y: 441.64	P: 96	B: 464
X: 28.78	Y: 380.96	P: 60	B: 373
X: 306.63	Y: 329.45	P: 7	B: 183
X: 346.12	Y: 274.56	P: 54	B: 284
X: 168.73	Y: 309.71	P: 90	B: 262
X: 337.95	Y: 453.48	P: 36	B: 291
X: 54.72	Y: 336.41	P: 40	B: 278
X: 232.72	Y: 44.34	P: 74	B: 213
X: 452.19	Y: 326.01	P: 32	B: 468
X: 275.48	Y: 41.35	P: 73	B: 198
X: 481.78	Y: 213.19	P: 95	B: 347
X: 416.72	Y: 251.40	P: 88	B: 235
X: 178.00	Y: 126.70	P: 89	B: 333
X: 99.32	Y: 475.60	P: 70	B: 371
X: 464.77	Y: 301.25	P: 97	B: 6
X: 39.72	Y: 141.76	P: 29	B: 429
X: 461.34	Y: 401.06	P: 7	B: 222
X: 126.06	Y: 267.71	P: 39	B: 158
X: 156.99	Y: 38.03	P: 77	B: 97
X: 450.11	Y: 464.36	P: 36	B: 24
X: 454.88	Y: 240.06	P: 93	B: 426
X: 470.14	Y: 394.03	P: 51	B: 396
X: 493.05	Y: 409.51	P: 8	B: 428
X: 435.04	Y: 447.88	P: 11	B: 469
X: 349.34	Y: 136.73	P: 32	B: 500
X: 428.69	Y: 219.28	P: 46	B: 388
X: 162.68	Y: 450.36	P: 73	B: 285
X: 246.51	Y: 424.15	P: 39	B: 494
X: 00.44	Y: 118.84	P: 17	B: 80
X: 198.63	Y: 435.68	P: 21	B: 58
X: 429.91	Y: 239.24	P: 61	B: 7
X: 157.78	Y: 457.80	P: 55	B: 100
X: 175.57	Y: 290.65	P: 11	B: 88
X: 90.74	Y: 190.97	P: 3	B: 1
X: 65.04	Y: 208.18	P: 78	B: 376
X: 263.28	Y: 351.31	P: 48	B: 163
X: 211.63	Y: 425.09	P: 45	B: 37
X: 33.77	Y: 10.96	P: 17	B: 188
X: 366.34	Y: 258.75	P: 56	B: 493
X: 318.72	Y: 254.70	P: 66	B: 65
X: 179.19	Y: 497.59	P: 16	B: 334
X: 365.78	Y: 29.59	P: 52	B: 84
X: 260.70	Y: 73.87	P: 47	B: 319
X: 351.30	Y: 122.28	P: 6	B: 7
X: 58.07	Y: 212.27	P: 100	B: 73
X: 288.75	Y: 262.82	P: 8	B: 330
X: 30.35	Y: 100.13	P: 19	B: 381
X: 340.20	Y: 60.51	P: 76	B: 92
X: 295.53	Y: 179.95	P: 59	B: 52
X: 395.88	Y: 497.18	P: 87	B: 384
X: 280.39	Y: 400.84	P: 92	B: 146
X: 393.36	Y: 420.05	P: 23	B: 145
X: 33.91	Y: 136.80	P: 65	B: 68
X: 333.40	Y: 462.02	P: 56	B: 381
X: 457.64	Y: 349.34	P: 47	B: 2
X: 87.83	Y: 493.13	P: 1	B: 185
X: 57.28	Y: 397.25	P: 15	B: 25
X: 433.35	Y: 333.66	P: 5	B: 312
X: 195.37	Y: 323.11	P: 94	B: 245
X: 113.74	Y: 194.64	P: 21	B: 341
X: 271.96	Y: 159.54	P: 24	B: 100
X: 148.93	Y: 331.00	P: 91	B: 32
X: 83.47	Y: 341.35	P: 10	B: 43
X: 275.57	Y: 146.91	P: 10	B: 480
X: 344.53	Y: 221.97	P: 79	B: 418
X: 102.81	Y: 252.19	P: 14	B: 69
X: 79.61	Y: 295.10	P: 14	B: 102
X: 407.24	Y: 305.29	P: 47	B: 290
X: 179.15	Y: 76.66	P: 34	B: 251
X: 390.17	Y: 390.08	P: 57	B: 420
X: 390.92	Y: 412.03	P: 36	B: 433
X: 207.85	Y: 328.32	P: 53	B: 400
X: 170.13	Y: 52.81	P: 54	B: 29
X: 71.97	Y: 157.69	P: 33	B: 423
X: 184.67	Y: 482.25	P: 63	B: 235
X: 101.98	Y: 409.98	P: 20	B: 246
X: 27.70	Y: 135.80	P: 45	B: 177
X: 35.05	Y: 489.79	P: 38	B: 489
X: 78.05	Y: 218.69	P: 34	B: 166
X: 214.90	Y: 333.39	P: 58	B: 444
X: 99.33	Y: 340.93	P: 9	B: 297
X: 134.78	Y: 47.22	P: 49	B: 143
X: 85.43	Y: 85.90	P: 25	B: 319
X: 478.46	Y: 387.34	P: 85	B: 220
X: 12.52	Y: 415.93	P: 99	B: 45
X: 364.86	Y: 347.44	P: 36	B: 108
X: 235.50	Y: 66.25	P: 52	B: 299
X: 481.88	Y: 168.23	P: 21	B: 298
X: 380.30	Y: 82.87	P: 1	B: 42
X: 388.03	Y: 200.76	P: 61	B: 498
X: 226.14	Y: 451.54	P: 36	B: 458
X: 399.42	Y: 281.84	P: 33	B: 210
X: 335.66	Y: 480.25	P: 94	B: 10
X: 473.85	Y: 174.50	P: 34	B: 146
X: 288.12	Y: 222.66	P: 87	B: 279
X: 379.05	Y: 299.45	P: 41	B: 491
X: 141.52	Y: 147.20	P: 78	B: 403
X: 109.14	Y: 318.19	P: 60	B: 283
X: 355.26	Y: 140.48	P: 6	B: 324
X: 229.26	Y: 293.55	P: 29	B: 95
X: 457.20	Y: 141.30	P: 76	B: 275
X: 205.31	Y: 226.03	P: 92	B: 23
X: 301.22	Y: 269.88	P: 4	B: 401
X: 299.39	Y: 179.06	P: 8	B: 426
X: 113.67	Y: 221.46	P: 33	B: 84
X: 463.10	Y: 344.48	P: 35	B: 454
X: 73.54	Y: 65.60	P: 86	B: 181
X: 350.97	Y: 289.61	P: 45	B: 158
X: 493.70	Y: 373.70	P: 44	B: 255
X: 301.57	Y: 161.81	P: 15	B: 294
X: 238.85	Y: 388.62	P: 51	B: 355
X: 235.40	Y: 188.19	P: 16	B: 238
X: 60.40	Y: 14.75	P: 6	B: 321
X: 405.88	Y: 53.24	P: 82	B: 401
X: 388.43	Y: 427.03	P: 56	B: 379
X: 40.26	Y: 38.98	P: 35	B: 393
X: 468.30	Y: 54.78	P: 100	B: 310
X: 356.42	Y: 70.57	P: 17	B: 403
X: 149.33	Y: 431.27	P: 72	B: 124
X: 371.37	Y: 243.70	P: 23	B: 88
X: 468.04	Y: 484.71	P: 58	B: 88
X: 323.01	Y: 251.37	P: 25	B: 417
X: 165.08	Y: 293.48	P: 74	B: 245
X: 12.09	Y: 199.00	P: 10	B: 360
X: 131.21	Y: 414.79	P: 66	B: 372
X: 110.43	Y: 110.89	P: 88	B: 481
X: 480.62	Y: 188.86	P: 18	B: 137
X: 51.74	Y: 79.78	P: 42	B: 184
X: 218.33	Y: 276.82	P: 26	B: 232
X: 91.30	Y: 301.00	P: 53	B: 453
X: 164.26	Y: 437.39	P: 49	B: 329
X: 87.66	Y: 375.90	P: 3	B: 419
X: 462.12	Y: 205.96	P: 50	B: 16
X: 278.96	Y: 10.55	P: 27	B: 298
X: 13.45	Y: 299.57	P: 24	B: 130
X: 427.86	Y: 290.44	P: 40	B: 362
X: 466.41	Y: 292.74	P: 76	B: 100
X: 337.28	Y: 121.17	P: 27	B: 393
X: 125.95	Y: 397.76	P: 54	B: 356
X: 73.92	Y: 359.29	P: 64	B: 486
X: 126.12	Y: 227.99	P: 79	B: 78
X: 452.07	Y: 330.14	P: 72	B: 475
X: 223.68	Y: 151.42	P: 59	B: 419
X: 222.32	Y: 455.11	P: 46	B: 426
X: 493.23	Y: 414.59	P: 22	B: 184
X: 330.07	Y: 267.46	P: 83	B: 298
X: 96.94	Y: 460.59	P: 90	B: 163
X: 334.54	Y: 327.37	P: 17	B: 141
X: 238.23	Y: 181.01	P: 10	B: 181
X: 37.43	Y: 79.96	P: 29	B: 473
X: 151.34	Y: 314.76	P: 92	B: 248
X: 248.33	Y: 46.67	P: 36	B: 185
X: 177.99	Y: 407.51	P: 11	B: 443
X: 418.15	Y: 55.31	P: 40	B: 43
X: 336.12	Y: 202.51	P: 20	B: 405
X: 153.98	Y: 161.16	P: 2	B: 41
X: 89.54	Y: 212.89	P: 66	B: 320
X: 262.34	Y: 435.68	P: 11	B: 188
X: 65.67	Y: 181.82	P: 91	B: 295
X: 484.39	Y: 305.97	P: 75	B: 314
X: 342.58	Y: 399.58	P: 4	B: 371
X: 200.60	Y: 463.40	P: 41	B: 28
X: 488.68	Y: 451.98	P: 6	B: 404
X: 392.58	Y: 37.00	P: 9	B: 225
