X: 54.08	Y: 85.25
X: 32.37	Y: 45.27
X: 46.37	Y: 62.07
X: 40.76	Y: 57.19
X: 74.04	Y: 33.29
X: 13.39	Y: 63.63
X: 95.02	Y: 24.98
X: 96.13	Y: 83.56
X: 88.68	Y: 26.97
X: 46.77	Y: 32.53
X: 96.88	Y: 22.63
X: 41.66	Y: 99.63
X: 19.2	Y: 4.45
X: 42.57	Y: 95.32
X: 97.0	Y: 50.63
X: 92.89	Y: 26.28
X: 23.72	Y: 76.31
X: 86.29	Y: 26.88
X: 1.81	Y: 54.24
X: 92.93	Y: 94.34
X: 39.53	Y: 5.35
X: 14.41	Y: 81.87
X: 15.59	Y: 70.66
X: 25.82	Y: 58.65
X: 36.8	Y: 23.98
X: 37.01	Y: 11.92
X: 65.16	Y: 89.95
X: 34.73	Y: 10.61
X: 94.24	Y: 7.87
X: 66.88	Y: 78.25
X: 92.35	Y: 13.96
X: 69.84	Y: 20.05
X: 25.43	Y: 21.25
X: 98.71	Y: 28.92
X: 40.75	Y: 24.74
X: 69.31	Y: 94.92
X: 33.61	Y: 82.85
X: 72.55	Y: 27.17
X: 91.64	Y: 44.14
X: 25.07	Y: 86.31
X: 74.62	Y: 9.27
X: 18.55	Y: 62.26
X: 91.68	Y: 44.78
X: 64.24	Y: 37.14
X: 70.23	Y: 88.3
X: 87.13	Y: 92.06
X: 50.08	Y: 26.2
X: 68.39	Y: 80.63
X: 46.55	Y: 50.79
X: 66.52	Y: 31.77
X: 31.31	Y: 59.12
X: 3.69	Y: 70.38
X: 8.51	Y: 30.51
X: 84.81	Y: 39.33
X: 81.42	Y: 72.68
X: 98.13	Y: 94.43
X: 27.92	Y: 5.85
X: 43.99	Y: 4.09
X: 19.65	Y: 21.95
X: 72.63	Y: 31.02
X: 98.58	Y: 74.18
X: 11.82	Y: 36.42
X: 5.33	Y: 33.04
X: 95.53	Y: 93.23
X: 51.04	Y: 80.04
X: 59.57	Y: 53.0
X: 69.38	Y: 57.43
X: 76.11	Y: 49.53
X: 95.56	Y: 16.37
X: 5.02	Y: 38.34
X: 72.71	Y: 6.19
X: 86.89	Y: 39.5
X: 79.96	Y: 50.67
X: 70.85	Y: 44.5
X: 91.58	Y: 75.06
X: 34.04	Y: 70.01
X: 90.76	Y: 21.41
X: 29.95	Y: 98.75
X: 55.39	Y: 19.89
X: 60.62	Y: 5.11
X: 76.73	Y: 38.27
X: 56.55	Y: 40.0
X: 25.66	Y: 49.7
X: 31.55	Y: 19.09
X: 55.08	Y: 29.18
X: 58.74	Y: 85.54
X: 20.42	Y: 98.3
X: 2.47	Y: 79.65
X: 4.87	Y: 21.89
X: 84.44	Y: 30.94
X: 69.59	Y: 26.6
X: 58.17	Y: 44.04
X: 53.25	Y: 66.58
X: 50.05	Y: 38.99
X: 83.33	Y: 55.0
X: 12.3	Y: 8.61
X: 23.07	Y: 7.63
X: 0.6	Y: 19.88
X: 27.94	Y: 71.27
X: 82.66	Y: 24.91
Woops! I have deleted the content!
